commodity,latest_date,current_price,one_week_date,one_week_forecast,one_week_direction,one_month_date,one_month_forecast,one_month_direction,three_month_date,three_month_forecast,three_month_direction
Ampalaya,2026-08-24,191.33,2026-08-31,133.79,decrease,2026-09-23,137.98,decrease,2026-11-22,145.93,decrease
Avocado,2026-08-24,204.63,2026-08-31,238.91,increase,2026-09-23,270.6,increase,2026-11-22,332.91,increase
Banana (Lakatan),2026-08-24,96.25,2026-08-31,96.4,stable,2026-09-23,95.8,stable,2026-11-22,94.51,decrease
Banana (Latundan),2026-08-24,76.88,2026-08-31,76.58,stable,2026-09-23,76.76,stable,2026-11-22,76.98,stable
Banana (Saba),2026-08-24,63.94,2026-08-31,62.51,decrease,2026-09-23,62.58,decrease,2026-11-22,62.51,decrease
Cabbage (Rare Ball),2026-08-24,116.12,2026-08-31,96.12,decrease,2026-09-23,98.8,decrease,2026-11-22,97.26,decrease
Cabbage (Scorpio),2026-08-24,113.14,2026-08-31,98.86,decrease,2026-09-23,101.26,decrease,2026-11-22,100.3,decrease
Cabbage (Wonder Ball),2026-08-24,110.55,2026-08-31,93.67,decrease,2026-09-23,95.57,decrease,2026-11-22,91.01,decrease
Calamansi,2026-08-24,115.74,2026-08-31,121.85,increase,2026-09-23,119.42,increase,2026-11-22,117.56,increase
Carrots,2026-08-24,111.77,2026-08-31,158.76,increase,2026-09-23,163.05,increase,2026-11-22,153.12,increase
Eggplant,2026-08-24,200.08,2026-08-31,134.79,decrease,2026-09-23,142.23,decrease,2026-11-22,141.81,decrease
Garlic (Imported),2026-08-24,150.25,2026-08-31,150.21,stable,2026-09-23,149.71,decrease,2026-11-22,147.18,decrease
Garlic (Native),2026-08-24,345.74,2026-08-31,366.41,increase,2026-09-23,369.25,increase,2026-11-22,379.01,increase
Ginger,2026-08-24,185.75,2026-08-31,197.77,increase,2026-09-23,189.62,increase,2026-11-22,149.77,decrease
Mango (Carabao),2026-08-24,204.11,2026-08-31,191.13,decrease,2026-09-23,205.12,increase,2026-11-22,221.97,increase
Papaya,2026-08-24,78.14,2026-08-31,76.52,decrease,2026-09-23,77.36,decrease,2026-11-22,79.3,increase
Pechay (Baguio),2026-08-24,124.1,2026-08-31,93.41,decrease,2026-09-23,92.95,decrease,2026-11-22,86.24,decrease
Pechay (Native),2026-08-24,236.97,2026-08-31,134.76,decrease,2026-09-23,134.01,decrease,2026-11-22,113.88,decrease
Red Onion,2026-08-24,115.02,2026-08-31,137.38,increase,2026-09-23,150.83,increase,2026-11-22,172.87,increase
Red Onion (Imported),2026-08-24,90.0,2026-08-31,109.29,increase,2026-09-23,128.36,increase,2026-11-22,172.37,increase
Sitao,2026-08-24,175.99,2026-08-31,132.28,decrease,2026-09-23,134.12,decrease,2026-11-22,136.1,decrease
Squash,2026-08-24,67.27,2026-08-31,72.35,increase,2026-09-23,71.96,increase,2026-11-22,66.76,decrease
Tomato,2026-08-24,105.03,2026-08-31,131.26,increase,2026-09-23,137.05,increase,2026-11-22,122.63,increase
Watermelon,2026-08-24,77.69,2026-08-31,77.85,stable,2026-09-23,78.8,increase,2026-11-22,81.05,increase
White Onion,2026-08-24,128.94,2026-08-31,120.87,decrease,2026-09-23,124.72,decrease,2026-11-22,122.94,decrease
White Onion (Imported),2026-08-17,130.0,2026-08-24,134.17,increase,2026-09-16,137.03,increase,2026-11-15,134.3,increase
White Potato,2026-08-24,143.15,2026-08-31,130.25,decrease,2026-09-23,135.04,decrease,2026-11-22,140.48,decrease
