commodity,total_records,training_records,testing_records,mae,rmse,r2
Ampalaya,56,44,12,21.0942,26.3886,0.0763
Cabbage (Rare Ball),55,44,11,13.9928,16.4818,-0.7747
Cabbage (Scorpio),56,44,12,10.2007,12.5236,-0.3609
Cabbage (Wonder Ball),55,44,11,11.4087,12.6401,0.0629
Carrots,56,44,12,65.6392,68.668,-139.1696
Eggplant,56,44,12,17.9323,30.3988,0.2404
Garlic (Imported),56,44,12,4.3306,4.4298,-9.8748
Garlic (Native),56,44,12,16.0684,18.3128,-0.8595
Ginger,56,44,12,36.1422,37.0126,-102.119
Pechay (Baguio),56,44,12,8.5469,12.1219,0.1543
Pechay (Native),56,44,12,33.806,51.5248,-0.0677
Red Onion,56,44,12,17.5788,19.7536,-58.9645
Red Onion (Imported),32,25,7,8.5359,10.7859,-161.7462
Sitao,56,44,12,22.8832,31.6635,-0.8134
Squash,56,44,12,6.8594,7.3246,-61.5656
Tomato,56,44,12,15.3946,17.0033,0.2064
White Onion,51,40,11,6.3502,7.1994,0.3821
White Onion (Imported),44,35,9,18.5797,20.0364,-27.934
White Potato,56,44,12,23.2854,24.4057,-4.754
