commodity,usable_rows,training_rows,testing_rows,mae,rmse,r2,naive_mae,beats_naive
Ampalaya,71,56,15,11.7734,14.6131,0.4793,14.2373,True
Cabbage,133,106,27,13.4734,19.6502,0.0737,13.2159,False
Carrots,129,103,26,16.7493,26.7769,0.5927,24.0838,True
Eggplant,71,56,15,15.5852,19.4101,0.431,18.1207,True
Garlic,131,104,27,9.4859,19.8544,-0.4681,8.3296,False
Ginger,71,56,15,8.6478,9.7054,0.2823,5.784,False
Red Onion,129,103,26,15.7393,20.01,0.6449,15.6669,False
Squash,27,21,6,20.1554,21.843,-25.5751,4.0667,False
Tomato,129,103,26,23.025,31.1342,0.5189,27.4377,True
White Onion,131,104,27,7.5344,9.6236,0.6574,9.6119,True
White Potato,118,94,24,10.4423,13.0698,0.679,13.7537,True
