week_start,week_end,commodity,raw_item,specification,unit,raw_unit,weekly_average_price,price_support_families,extraction_method,source_file
2024-01-01,2024-01-05,Ampalaya,Ampalaya 4-5 pcs/kg kg 103.37,,kg,,103.37,,pdfplumber,2024\Weekly-Average-Prices-January-1-5-2024.pdf
2024-01-01,2024-01-05,Banana (Lakatan),Banana (Lakatan) 8-10 pcs/kg kg 102.00,,kg,,102.0,,pdfplumber,2024\Weekly-Average-Prices-January-1-5-2024.pdf
2024-01-01,2024-01-05,Banana (Latundan),Banana (Latundan) 10-12 pcs/kg kg 70.67,,kg,,70.67,,pdfplumber,2024\Weekly-Average-Prices-January-1-5-2024.pdf
2024-01-01,2024-01-05,Cabbage (Scorpio),Cabbage (Scorpio) 750 gm - 1 kg/head kg 72.28,,kg,,72.28,,pdfplumber,2024\Weekly-Average-Prices-January-1-5-2024.pdf
2024-01-01,2024-01-05,Calamansi,Calamansi kg 87.32,,kg,,87.32,,pdfplumber,2024\Weekly-Average-Prices-January-1-5-2024.pdf
2024-01-01,2024-01-05,Carrots,Carrots 8-10 pcs kg 108.46,,kg,,108.46,,pdfplumber,2024\Weekly-Average-Prices-January-1-5-2024.pdf
2024-01-01,2024-01-05,Eggplant,Eggplant 3-4 Small Bundles kg 102.53,,kg,,102.53,,pdfplumber,2024\Weekly-Average-Prices-January-1-5-2024.pdf
2024-01-01,2024-01-05,Garlic (Imported),Garlic (Imported) kg 148.77,,kg,,148.77,,pdfplumber,2024\Weekly-Average-Prices-January-1-5-2024.pdf
2024-01-01,2024-01-05,Garlic (Native),Garlic (Native) kg 475.00,,kg,,475.0,,pdfplumber,2024\Weekly-Average-Prices-January-1-5-2024.pdf
2024-01-01,2024-01-05,Ginger,Ginger kg 152.12,,kg,,152.12,,pdfplumber,2024\Weekly-Average-Prices-January-1-5-2024.pdf
2024-01-01,2024-01-05,Mango (Carabao),Mango (Carabao) 3-4 pcs/kg kg 200.98,,kg,,200.98,,pdfplumber,2024\Weekly-Average-Prices-January-1-5-2024.pdf
2024-01-01,2024-01-05,Papaya,Papaya 2-3 pcs/kg kg 66.73,,kg,,66.73,,pdfplumber,2024\Weekly-Average-Prices-January-1-5-2024.pdf
