week_start,week_end,raw_item,unit,weekly_average_price,source_file
"April 15, 2024","April 20, 2024",Special Blue Tag,kg,60.16,Weekly-Average-Prices-April-15-20-2024.pdf
"April 15, 2024","April 20, 2024",Premium Yellow Tag,kg,57.11,Weekly-Average-Prices-April-15-20-2024.pdf
"April 15, 2024","April 20, 2024",Well Milled White Tag,kg,52.6,Weekly-Average-Prices-April-15-20-2024.pdf
"April 15, 2024","April 20, 2024",Regular Milled White Tag,kg,49.89,Weekly-Average-Prices-April-15-20-2024.pdf
"April 15, 2024","April 20, 2024",Special Blue Tag,kg,61.04,Weekly-Average-Prices-April-15-20-2024.pdf
"April 15, 2024","April 20, 2024",Premium Yellow Tag,kg,55.12,Weekly-Average-Prices-April-15-20-2024.pdf
"April 15, 2024","April 20, 2024",Well Milled White Tag,kg,51.89,Weekly-Average-Prices-April-15-20-2024.pdf
"April 15, 2024","April 20, 2024",Regular Milled White Tag,kg,48.96,Weekly-Average-Prices-April-15-20-2024.pdf
"April 15, 2024","April 20, 2024",CORN Corn (White) Glutinous,kg,74.4,Weekly-Average-Prices-April-15-20-2024.pdf
"April 15, 2024","April 20, 2024",Corn (Yellow) Japanese,kg,64.89,Weekly-Average-Prices-April-15-20-2024.pdf
"April 15, 2024","April 20, 2024",FISH Bangus Medium (3-4pcs/kg),kg,187.95,Weekly-Average-Prices-April-15-20-2024.pdf
"April 15, 2024","April 20, 2024",Tilapia Medium (5-6pcs/kg),kg,139.83,Weekly-Average-Prices-April-15-20-2024.pdf
"April 15, 2024","April 20, 2024",Galunggong (Local) Medium (12-14pcs/kg),kg,205.38,Weekly-Average-Prices-April-15-20-2024.pdf
"April 15, 2024","April 20, 2024",Galunggong (Imported) Medium (12-14pcs/kg) kg n/a Alumahan Medium (4-6pcs/kg),kg,299.7,Weekly-Average-Prices-April-15-20-2024.pdf
"April 15, 2024","April 20, 2024",Bonito,kg,198.86,Weekly-Average-Prices-April-15-20-2024.pdf
"April 15, 2024","April 20, 2024",Salmon Head,kg,202.2,Weekly-Average-Prices-April-15-20-2024.pdf
"April 15, 2024","April 20, 2024",Sardines (Tamban),kg,163.42,Weekly-Average-Prices-April-15-20-2024.pdf
"April 15, 2024","April 20, 2024",Squid Medium,kg,357.2,Weekly-Average-Prices-April-15-20-2024.pdf
"April 15, 2024","April 20, 2024",Yellow-Fin Tuna (Tambakol),kg,216.78,Weekly-Average-Prices-April-15-20-2024.pdf
"April 15, 2024","April 20, 2024",LIVESTOCK & POULTRY PRODUCTS Beef Rump Lean Meat/Tapadera,kg,443.3,Weekly-Average-Prices-April-15-20-2024.pdf
"April 15, 2024","April 20, 2024",Beef Brisket Meat with Bones,kg,387.45,Weekly-Average-Prices-April-15-20-2024.pdf
"April 15, 2024","April 20, 2024",Pork Ham Kasim,kg,334.86,Weekly-Average-Prices-April-15-20-2024.pdf
"April 15, 2024","April 20, 2024",Pork Belly Liempo,kg,378.06,Weekly-Average-Prices-April-15-20-2024.pdf
"April 15, 2024","April 20, 2024",Whole Chicken Fully Dressed,kg,177.75,Weekly-Average-Prices-April-15-20-2024.pdf
"April 15, 2024","April 20, 2024",Chicken Egg Medium size,pc,7.04,Weekly-Average-Prices-April-15-20-2024.pdf
"April 15, 2024","April 20, 2024",Ampalaya 4-5 pcs/kg,kg,117.27,Weekly-Average-Prices-April-15-20-2024.pdf
"April 15, 2024","April 20, 2024",Sitao 3-4 Small Bundles,kg,106.31,Weekly-Average-Prices-April-15-20-2024.pdf
"April 15, 2024","April 20, 2024",Pechay (Native) 3-4 Small Bundles,kg,74.66,Weekly-Average-Prices-April-15-20-2024.pdf
"April 15, 2024","April 20, 2024",Squash Suprema Variety,kg,49.46,Weekly-Average-Prices-April-15-20-2024.pdf
