source_file,week_start,week_end,status,selected_method,records_created,targets_detected,text_length,ambiguous_text_lines
2024\Weekly-Average-Prices-April-1-5-2024.pdf,2024-04-01,2024-04-05,success,ocr_row_aligned,23,24,0,0
2024\Weekly-Average-Prices-April-15-20-2024.pdf,2024-04-15,2024-04-20,success,pdfplumber,23,24,3200,0
2024\Weekly-Average-Prices-April-22-27-2024.pdf,2024-04-22,2024-04-27,success,pdfplumber,23,24,3203,0
2024\Weekly-Average-Prices-April-29-May-4-2024.pdf,2024-04-29,2024-05-04,success,pdfplumber,23,24,4155,0
2024\Weekly-Average-Prices-April-8-12-2024.pdf,2024-04-08,2024-04-12,success,ocr_row_aligned,23,24,0,0
2024\Weekly-Average-Prices-August-12-17-2024.pdf,2024-08-12,2024-08-17,success,pdfplumber,22,24,4335,0
2024\Weekly-Average-Prices-August-19-24-2024.pdf,2024-08-19,2024-08-24,success,pdfplumber,23,24,4371,0
2024\Weekly-Average-Prices-August-26-31-2024.pdf,2024-08-26,2024-08-31,success,ocr_table,20,23,0,0
2024\Weekly-Average-Prices-August-5-10-2024.pdf,2024-08-05,2024-08-10,success,pdfplumber,23,24,4452,0
2024\Weekly-Average-Prices-December-16-21-2024.pdf,2024-12-16,2024-12-21,success,ocr_row_aligned,27,27,0,0
2024\Weekly-Average-Prices-December-2-7-2024.pdf,2024-12-02,2024-12-07,success,ocr_row_aligned,25,26,0,0
2024\Weekly-Average-Prices-December-23-28-2024.pdf,2024-12-23,2024-12-28,success,ocr_row_aligned,16,18,0,0
2024\Weekly-Average-Prices-December-9-14-2024.pdf,2024-12-09,2024-12-14,success,ocr_row_aligned,24,26,0,0
2024\Weekly-Average-Prices-February-12-16-2024.pdf,2024-02-12,2024-02-16,success,ocr_row_aligned,23,23,0,0
2024\Weekly-Average-Prices-February-19-23-2024.pdf,2024-02-19,2024-02-23,success,ocr_table,19,19,0,0
2024\Weekly-Average-Prices-February-26-March-1-2024.pdf,2024-02-26,2024-03-01,success,pdfplumber,24,24,2795,0
2024\Weekly-Average-Prices-February-5-9-2024.pdf,2024-02-05,2024-02-09,success,pdfplumber,24,24,2658,0
2024\Weekly-Average-Prices-January-1-5-2024.pdf,2024-01-01,2024-01-05,success,pdfplumber,22,24,2655,0
2024\Weekly-Average-Prices-January-15-19-2024.pdf,2024-01-15,2024-01-19,success,pdfplumber,24,24,2660,0
2024\Weekly-Average-Prices-January-22-26-2024.pdf,2024-01-22,2024-01-26,success,pdfplumber,24,24,2655,0
2024\Weekly-Average-Prices-January-29-February-2-2024.pdf,2024-01-29,2024-02-02,success,pdfplumber,24,24,2669,0
2024\Weekly-Average-Prices-January-8-12-2024.pdf,2024-01-08,2024-01-12,success,pdfplumber,24,24,2658,0
2024\Weekly-Average-Prices-July-1-6-2024.pdf,2024-07-01,2024-07-06,success,pdfplumber,22,24,4319,0
2024\Weekly-Average-Prices-July-15-20-2024.pdf,2024-07-15,2024-07-20,success,pdfplumber,22,24,4276,0
