series_key,category,commodity,specification,unit,numeric_observations,first_numeric_week,latest_numeric_week,latest_numeric_price,latest_pdf_price,latest_pdf_availability,forecast_eligible_16_plus
KADIWA RICE-FOR-ALL | P20 Benteng Bigas Meron Naᵃ | (no specification) | kg,KADIWA RICE-FOR-ALL,P20 Benteng Bigas Meron Naᵃ,,kg,63,2025-05-12,2026-08-31,20,20,available,yes
IMPORTED COMMERCIAL RICE | Basmati | (no specification) | kg,IMPORTED COMMERCIAL RICE,Basmati,,kg,37,2025-11-17,2026-08-31,196.15,196.15,available,yes
IMPORTED COMMERCIAL RICE | Glutinous | (no specification) | kg,IMPORTED COMMERCIAL RICE,Glutinous,,kg,37,2025-11-17,2026-08-31,61.05,61.05,available,yes
IMPORTED COMMERCIAL RICE | Japonica/Jasponica | (no specification) | kg,IMPORTED COMMERCIAL RICE,Japonica/Jasponica,,kg,37,2025-11-17,2026-08-31,60.46,60.46,available,yes
IMPORTED COMMERCIAL RICE | Other Special Rice | White Rice | kg,IMPORTED COMMERCIAL RICE,Other Special Rice,White Rice,kg,37,2025-11-17,2026-08-31,59.54,59.54,available,yes
IMPORTED COMMERCIAL RICE | Premium | 5% broken | kg,IMPORTED COMMERCIAL RICE,Premium,5% broken,kg,120,2024-01-01,2026-08-31,53.29,53.29,available,yes
IMPORTED COMMERCIAL RICE | Regular Milled | 20-40% bran streak | kg,IMPORTED COMMERCIAL RICE,Regular Milled,20-40% bran streak,kg,107,2024-02-12,2026-08-31,45.22,45.22,available,yes
IMPORTED COMMERCIAL RICE | Well Milled | 1-19% bran streak | kg,IMPORTED COMMERCIAL RICE,Well Milled,1-19% bran streak,kg,120,2024-01-01,2026-08-31,47.71,47.71,available,yes
LOCAL COMMERCIAL RICE | Basmati | (no specification) | kg,LOCAL COMMERCIAL RICE,Basmati,,kg,0,,,,,not sold / no price (-),no
LOCAL COMMERCIAL RICE | Glutinous | (no specification) | kg,LOCAL COMMERCIAL RICE,Glutinous,,kg,37,2025-11-17,2026-08-31,76.82,76.82,available,yes
LOCAL COMMERCIAL RICE | Japonica/Jasponica | (no specification) | kg,LOCAL COMMERCIAL RICE,Japonica/Jasponica,,kg,0,,,,,not sold / no price (-),no
LOCAL COMMERCIAL RICE | Other Special Rice | White Rice | kg,LOCAL COMMERCIAL RICE,Other Special Rice,White Rice,kg,37,2025-11-17,2026-08-31,60.1,60.1,available,yes
LOCAL COMMERCIAL RICE | Premium | 5% broken | kg,LOCAL COMMERCIAL RICE,Premium,5% broken,kg,120,2024-01-01,2026-08-31,54.1,54.1,available,yes
LOCAL COMMERCIAL RICE | Regular Milled | 20-40% bran streak | kg,LOCAL COMMERCIAL RICE,Regular Milled,20-40% bran streak,kg,120,2024-01-01,2026-08-31,45.02,45.02,available,yes
LOCAL COMMERCIAL RICE | Well Milled | 1-19% bran streak | kg,LOCAL COMMERCIAL RICE,Well Milled,1-19% bran streak,kg,120,2024-01-01,2026-08-31,48.6,48.6,available,yes
"CORN PRODUCTS | Corn (White) | Cob, Glutinous | kg",CORN PRODUCTS,Corn (White),"Cob, Glutinous",kg,120,2024-01-01,2026-08-31,104.53,104.53,available,yes
"CORN PRODUCTS | Corn (Yellow) | Cob, Sweet Corn | kg",CORN PRODUCTS,Corn (Yellow),"Cob, Sweet Corn",kg,120,2024-01-01,2026-08-31,89.95,89.95,available,yes
"CORN PRODUCTS | Corn Cracked (Yellow, Feed Grade) | (no specification) | kg",CORN PRODUCTS,"Corn Cracked (Yellow, Feed Grade)",,kg,86,2024-04-29,2026-08-31,45.41,45.41,available,yes
CORN PRODUCTS | Corn Grits (Feed Grade) | (no specification) | kg,CORN PRODUCTS,Corn Grits (Feed Grade),,kg,94,2024-04-29,2026-08-31,45.41,45.41,available,yes
"CORN PRODUCTS | Corn Grits (White, Food Grade) | (no specification) | kg",CORN PRODUCTS,"Corn Grits (White, Food Grade)",,kg,73,2024-04-29,2026-08-31,74.44,74.44,available,yes
"CORN PRODUCTS | Corn Grits (Yellow, Food Grade) | (no specification) | kg",CORN PRODUCTS,"Corn Grits (Yellow, Food Grade)",,kg,58,2024-04-29,2026-08-31,79.17,79.17,available,yes
LEGUMES | Mungbean | (no specification) | kg,LEGUMES,Mungbean,,kg,34,2025-12-08,2026-08-31,148.31,148.31,available,yes
FISH PRODUCTS | Alumahan (Indian Mackerel) | Medium (4-6 pcs/kg) | kg,FISH PRODUCTS,Alumahan (Indian Mackerel),Medium (4-6 pcs/kg),kg,120,2024-01-01,2026-08-31,365.13,365.13,available,yes
"FISH PRODUCTS | Bangus, Large | Large (1-2 pcs) | kg",FISH PRODUCTS,"Bangus, Large",Large (1-2 pcs),kg,112,2024-01-01,2026-08-31,270.4,270.4,available,yes
"FISH PRODUCTS | Bangus, Medium | Medium (3-4 pcs/kg) | kg",FISH PRODUCTS,"Bangus, Medium",Medium (3-4 pcs/kg),kg,120,2024-01-01,2026-08-31,243.62,243.62,available,yes
FISH PRODUCTS | Bonito (Frigate Tuna) | (no specification) | kg,FISH PRODUCTS,Bonito (Frigate Tuna),,kg,8,2024-04-15,2026-06-15,280,,not sold / no price (-),no
"FISH PRODUCTS | Galunggong, Imported | Male, Medium (12-14 pcs/kg) | kg",FISH PRODUCTS,"Galunggong, Imported","Male, Medium (12-14 pcs/kg)",kg,61,2024-01-01,2026-08-17,300,,not sold / no price (-),yes
"FISH PRODUCTS | Galunggong, Local | Male, Medium (12-14 pcs/kg) | kg",FISH PRODUCTS,"Galunggong, Local","Male, Medium (12-14 pcs/kg)",kg,120,2024-01-01,2026-08-31,322.56,322.56,available,yes
"FISH PRODUCTS | Salmon Belly, Local | (no specification) | kg",FISH PRODUCTS,"Salmon Belly, Local",,kg,0,,,,,not sold / no price (-),no
FISH PRODUCTS | Sardines (Tamban) | (no specification) | kg,FISH PRODUCTS,Sardines (Tamban),,kg,105,2024-04-15,2026-08-31,140.6,140.6,available,yes
"FISH PRODUCTS | Squid (Pusit Bisaya), Local | Medium | kg",FISH PRODUCTS,"Squid (Pusit Bisaya), Local",Medium,kg,81,2024-11-18,2026-08-31,468.41,468.41,available,yes
"FISH PRODUCTS | Tambakol (Yellow-Fin Tuna), Local | Medium, Fresh or Chilled | kg",FISH PRODUCTS,"Tambakol (Yellow-Fin Tuna), Local","Medium, Fresh or Chilled",kg,105,2024-04-15,2026-08-31,320.52,320.52,available,yes
FISH PRODUCTS | Tilapia | Medium (5-6 pcs/kg) | kg,FISH PRODUCTS,Tilapia,Medium (5-6 pcs/kg),kg,120,2024-01-01,2026-08-31,156.88,156.88,available,yes
"BEEF PRODUCTS | Beef Brisket, Local | Meat with Bones | kg",BEEF PRODUCTS,"Beef Brisket, Local",Meat with Bones,kg,120,2024-01-01,2026-08-31,441.01,441.01,available,yes
"BEEF PRODUCTS | Beef Rump, Local | Lean Meat/ Tapadera | kg",BEEF PRODUCTS,"Beef Rump, Local",Lean Meat/ Tapadera,kg,120,2024-01-01,2026-08-31,494.87,494.87,available,yes
"BEEF PRODUCTS | Chicken Egg (Brown, Extra Large) | Extra Large | pc",BEEF PRODUCTS,"Chicken Egg (Brown, Extra Large)",Extra Large,pc,89,2024-04-29,2026-08-31,11,11,available,yes
"BEEF PRODUCTS | Chicken Egg (Brown, Large) | Large | pc",BEEF PRODUCTS,"Chicken Egg (Brown, Large)",Large,pc,97,2024-04-29,2026-08-31,11.07,11.07,available,yes
"BEEF PRODUCTS | Chicken Egg (Brown, Medium) | Medium | pc",BEEF PRODUCTS,"Chicken Egg (Brown, Medium)",Medium,pc,103,2024-04-29,2026-08-31,10.79,10.79,available,yes
"BEEF PRODUCTS | Chicken Egg (White, Extra Large) | 66-70 grams/pc | pc",BEEF PRODUCTS,"Chicken Egg (White, Extra Large)",66-70 grams/pc,pc,102,2024-04-29,2026-08-31,9.37,9.37,available,yes
"BEEF PRODUCTS | Chicken Egg (White, Extra Small) | 46-50 grams/pc | pc",BEEF PRODUCTS,"Chicken Egg (White, Extra Small)",46-50 grams/pc,pc,103,2024-04-29,2026-08-31,6.91,6.91,available,yes
"BEEF PRODUCTS | Chicken Egg (White, Jumbo) | 71> grams/pc | pc",BEEF PRODUCTS,"Chicken Egg (White, Jumbo)",71> grams/pc,pc,103,2024-04-29,2026-08-31,10.04,10.04,available,yes
