week_start,week_end,commodity,raw_item,specification,unit,raw_unit,weekly_average_price,price_support_families,extraction_method,source_file
2024-01-01,2024-01-05,Ampalaya,Ampalaya 4-5 pcs/kg kg 103.37,,kg,,103.37,,pdfplumber,2024\Weekly-Average-Prices-January-1-5-2024.pdf
2024-01-08,2024-01-12,Ampalaya,Ampalaya 4-5 pcs/kg kg 121.39,,kg,,121.39,,pdfplumber,2024\Weekly-Average-Prices-January-8-12-2024.pdf
2024-01-15,2024-01-19,Ampalaya,Ampalaya 4-5 pcs/kg kg 125.07,,kg,,125.07,,pdfplumber,2024\Weekly-Average-Prices-January-15-19-2024.pdf
2024-01-22,2024-01-26,Ampalaya,Ampalaya 4-5 pcs/kg kg 119.40,,kg,,119.4,,pdfplumber,2024\Weekly-Average-Prices-January-22-26-2024.pdf
2024-01-29,2024-02-02,Ampalaya,Ampalaya 4-5 pcs/kg kg 110.97,,kg,,110.97,,pdfplumber,2024\Weekly-Average-Prices-January-29-February-2-2024.pdf
2024-02-05,2024-02-09,Ampalaya,Ampalaya 4-5 pcs/kg kg 107.02,,kg,,107.02,,pdfplumber,2024\Weekly-Average-Prices-February-5-9-2024.pdf
2024-02-26,2024-03-01,Ampalaya,Ampalaya 4-5 pcs/kg kg 114.58,,kg,,114.58,,pdfplumber,2024\Weekly-Average-Prices-February-26-March-1-2024.pdf
2024-03-04,2024-03-08,Ampalaya,Ampalaya 4-5 pcs/kg kg 122.76,,kg,,122.76,,pdfplumber,2024\Weekly-Average-Prices-March-4-8-2024.pdf
2024-04-15,2024-04-20,Ampalaya,Ampalaya 4-5 pcs/kg kg 117.27,,kg,,117.27,,pdfplumber,2024\Weekly-Average-Prices-April-15-20-2024.pdf
2024-04-22,2024-04-27,Ampalaya,Ampalaya 4-5 pcs/kg kg 114.46,,kg,,114.46,,pdfplumber,2024\Weekly-Average-Prices-April-22-27-2024.pdf
2024-04-29,2024-05-04,Ampalaya,Ampalaya 4-5 pcs/kg kg 114.14,,kg,,114.14,,pdfplumber,2024\Weekly-Average-Prices-April-29-May-4-2024.pdf
2024-05-06,2024-05-11,Ampalaya,Ampalaya 4-5 pcs/kg kg 127.65,,kg,,127.65,,pdfplumber,2024\Weekly-Average-Prices-May-6-11-2024.pdf
2024-05-13,2024-05-18,Ampalaya,Ampalaya 4-5 pcs/kg kg 136.96,,kg,,136.96,,pdfplumber,2024\Weekly-Average-Prices-May-13-18-2024.pdf
2024-05-20,2024-05-25,Ampalaya,Ampalaya 4-5 pcs/kg kg 135.18,,kg,,135.18,,pdfplumber,2024\Weekly-Average-Prices-May-20-25-2024.pdf
2024-06-10,2024-06-15,Ampalaya,Ampalaya 4-5 pcs/kg kg 138.17,,kg,,138.17,,pdfplumber,2024\Weekly-Average-Prices-June-10-15-2024.pdf
2024-06-17,2024-06-22,Ampalaya,Ampalaya 4-5 pcs/kg kg 138.66,,kg,,138.66,,pdfplumber,2024\Weekly-Average-Prices-June-17-22-2024.pdf
2024-06-24,2024-06-29,Ampalaya,Ampalaya 4-5 pcs/kg kg 123.59,,kg,,123.59,,pdfplumber,2024\Weekly-Average-Prices-June-24-29-2024.pdf
2024-07-01,2024-07-06,Ampalaya,Ampalaya 4-5 pcs/kg kg 116.00,,kg,,116.0,,pdfplumber,2024\Weekly-Average-Prices-July-1-6-2024.pdf
2024-07-08,2024-07-13,Ampalaya,Ampalaya 4-5 pcs/kg kg 112.29,,kg,,112.29,,pdfplumber,2024\Weekly-Average-Prices-July-8-13-2024.pdf
2024-07-15,2024-07-20,Ampalaya,Ampalaya 4-5 pcs/kg kg 102.43,,kg,,102.43,,pdfplumber,2024\Weekly-Average-Prices-July-15-20-2024.pdf
