date,year,month,commodity,source_commodity,monthly_average_price,admin1,admin2,market,pricetype,currency,unit
2020-05-15,2020,5,Ampalaya,Bitter melon,83.22,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2020-06-15,2020,6,Ampalaya,Bitter melon,75.52,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2020-07-15,2020,7,Ampalaya,Bitter melon,60.41,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2020-08-15,2020,8,Ampalaya,Bitter melon,63.02,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2020-09-15,2020,9,Ampalaya,Bitter melon,64.49,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2020-10-15,2020,10,Ampalaya,Bitter melon,81.92,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2020-11-15,2020,11,Ampalaya,Bitter melon,162.42,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2020-12-15,2020,12,Ampalaya,Bitter melon,169.62,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2021-01-15,2021,1,Ampalaya,Bitter melon,151.19,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2021-02-15,2021,2,Ampalaya,Bitter melon,97.8,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2021-03-15,2021,3,Ampalaya,Bitter melon,72.93,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2021-04-15,2021,4,Ampalaya,Bitter melon,67.28,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2021-05-15,2021,5,Ampalaya,Bitter melon,61.42,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2021-06-15,2021,6,Ampalaya,Bitter melon,75.4,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2021-07-15,2021,7,Ampalaya,Bitter melon,82.06,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2021-08-15,2021,8,Ampalaya,Bitter melon,99.16,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2021-09-15,2021,9,Ampalaya,Bitter melon,85.94,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2021-10-15,2021,10,Ampalaya,Bitter melon,84.47,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2021-11-15,2021,11,Ampalaya,Bitter melon,64.96,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2021-12-15,2021,12,Ampalaya,Bitter melon,78.93,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2022-01-15,2022,1,Ampalaya,Bitter melon,97.8,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2022-02-15,2022,2,Ampalaya,Bitter melon,101.77,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2022-03-15,2022,3,Ampalaya,Bitter melon,103.08,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2022-04-15,2022,4,Ampalaya,Bitter melon,97.52,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2022-05-15,2022,5,Ampalaya,Bitter melon,96.25,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2022-06-15,2022,6,Ampalaya,Bitter melon,117.28,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2022-07-15,2022,7,Ampalaya,Bitter melon,87.98,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2022-08-15,2022,8,Ampalaya,Bitter melon,82.49,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2022-09-15,2022,9,Ampalaya,Bitter melon,89.55,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2022-10-15,2022,10,Ampalaya,Bitter melon,125.46,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2022-11-15,2022,11,Ampalaya,Bitter melon,138.02,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2022-12-15,2022,12,Ampalaya,Bitter melon,111.18,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2023-01-15,2023,1,Ampalaya,Bitter melon,133.3,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2023-02-15,2023,2,Ampalaya,Bitter melon,146.21,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2023-03-15,2023,3,Ampalaya,Bitter melon,131.87,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2023-04-15,2023,4,Ampalaya,Bitter melon,104.51,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2023-05-15,2023,5,Ampalaya,Bitter melon,92.0,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2023-06-15,2023,6,Ampalaya,Bitter melon,86.72,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2023-07-15,2023,7,Ampalaya,Bitter melon,91.97,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2023-08-15,2023,8,Ampalaya,Bitter melon,141.15,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2023-09-15,2023,9,Ampalaya,Bitter melon,139.35,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2023-10-15,2023,10,Ampalaya,Bitter melon,109.38,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2023-11-15,2023,11,Ampalaya,Bitter melon,96.09,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2023-12-15,2023,12,Ampalaya,Bitter melon,105.12,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2024-01-15,2024,1,Ampalaya,Bitter melon,120.48,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2024-02-15,2024,2,Ampalaya,Bitter melon,112.9,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2024-03-15,2024,3,Ampalaya,Bitter melon,125.54,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2024-04-15,2024,4,Ampalaya,Bitter melon,120.52,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2024-05-15,2024,5,Ampalaya,Bitter melon,132.69,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2024-06-15,2024,6,Ampalaya,Bitter melon,140.8,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2024-07-15,2024,7,Ampalaya,Bitter melon,112.52,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2024-08-15,2024,8,Ampalaya,Bitter melon,107.03,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2024-09-15,2024,9,Ampalaya,Bitter melon,123.32,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2024-10-15,2024,10,Ampalaya,Bitter melon,125.39,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2024-11-15,2024,11,Ampalaya,Bitter melon,158.37,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2024-12-15,2024,12,Ampalaya,Bitter melon,143.36,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2025-01-15,2025,1,Ampalaya,Bitter melon,159.05,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2025-02-15,2025,2,Ampalaya,Bitter melon,126.88,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2025-03-15,2025,3,Ampalaya,Bitter melon,122.05,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2025-04-15,2025,4,Ampalaya,Bitter melon,108.01,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2025-05-15,2025,5,Ampalaya,Bitter melon,109.48,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2025-06-15,2025,6,Ampalaya,Bitter melon,112.22,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2025-07-15,2025,7,Ampalaya,Bitter melon,141.15,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2025-08-15,2025,8,Ampalaya,Bitter melon,169.89,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2025-09-15,2025,9,Ampalaya,Bitter melon,133.18,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2025-10-15,2025,10,Ampalaya,Bitter melon,141.57,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2025-11-15,2025,11,Ampalaya,Bitter melon,165.82,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2025-12-15,2025,12,Ampalaya,Bitter melon,172.0,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2026-01-15,2026,1,Ampalaya,Bitter melon,154.78,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2026-02-15,2026,2,Ampalaya,Bitter melon,149.94,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2026-03-15,2026,3,Ampalaya,Bitter melon,134.78,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2026-04-15,2026,4,Ampalaya,Bitter melon,124.13,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2026-05-15,2026,5,Ampalaya,Bitter melon,125.28,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2026-06-15,2026,6,Ampalaya,Bitter melon,138.37,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
